AD,AN,AS,AT,GB,KN,KR,PJ,SA,SK,SS,SV,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,100.0,0.0,0,0,0,100.0,0,0,0.0,
0,0,100.0,100.0,0.0,0,0,0,100.0,0.0,0,0.0,
0,0,100.0,100.0,0.0,0,0,0,50.0,50.0,0,0.0,
0,0,100.0,66.66666666666667,0.0,0,0,0,66.66666666666667,50.0,0,33.333333333333336,
0,0,100.0,50.0,0.0,0,0,0,66.66666666666667,33.333333333333336,0,50.0,
0,0,100.0,50.0,0.0,0,0,0,75.0,25.0,0,50.0,
0,0,100.0,60.0,0.0,0,0,0,60.0,20.0,0,50.0,
0,0,100.0,50.0,0.0,100.0,0,0,66.66666666666667,20.0,0,40.0,
0,0,100.0,50.0,0.0,100.0,0.0,0,66.66666666666667,20.0,0,33.333333333333336,
0,0,85.71428571428571,57.142857142857146,0.0,100.0,0.0,0,71.42857142857143,20.0,0,33.333333333333336,
0,0,85.71428571428571,50.0,0.0,66.66666666666667,0.0,0,75.0,20.0,0,42.857142857142854,
0,0,87.5,50.0,0.0,50.0,0.0,0,75.0,20.0,0,50.0,
0,0,77.77777777777777,50.0,0.0,60.0,0.0,0,66.66666666666667,20.0,0,55.55555555555556,
0,0,77.77777777777777,50.0,0.0,66.66666666666667,0.0,0,70.0,20.0,0,50.0,
0,0,77.77777777777777,55.55555555555556,0.0,57.142857142857146,0.0,0,63.63636363636363,20.0,0,54.54545454545455,
0,0,77.77777777777777,60.0,0.0,62.5,0.0,0,63.63636363636363,16.666666666666668,0,50.0,
0,0,77.77777777777777,63.63636363636363,0.0,55.55555555555556,0.0,0,66.66666666666667,14.285714285714286,0,50.0,
0,0,77.77777777777777,58.333333333333336,0.0,60.0,0.0,0,61.53846153846154,14.285714285714286,0,53.84615384615385,
0,0,77.77777777777777,53.84615384615385,0.0,60.0,0.0,0,64.28571428571429,12.5,0,57.142857142857146,
0,0,77.77777777777777,53.84615384615385,0.0,54.54545454545455,0.0,0,60.0,22.22222222222222,0,60.0,
0,0,77.77777777777777,50.0,0.0,58.333333333333336,0.0,0,60.0,20.0,0,62.5,
0,0,80.0,50.0,0.0,53.84615384615385,0.0,0,56.25,20.0,0,64.70588235294117,
0,0,72.72727272727273,53.333333333333336,0.0,53.84615384615385,0.0,0,58.8235294117647,18.181818181818183,0,64.70588235294117,
0,0,72.72727272727273,50.0,0.0,57.142857142857146,0.0,0,58.8235294117647,25.0,0,61.111111111111114,
0,0,66.66666666666667,50.0,0.0,53.333333333333336,0.0,0,61.111111111111114,25.0,0,63.1578947368421,
0,0,69.23076923076923,47.05882352941177,0.0,53.333333333333336,0.0,0,63.1578947368421,23.076923076923077,0,63.1578947368421,
0,0,69.23076923076923,50.0,0.0,56.25,0.0,0,63.1578947368421,21.428571428571427,0,60.0,
0,0,64.28571428571429,47.36842105263158,0.0,56.25,20.0,0,65.0,21.428571428571427,0,60.0,
0,0,60.0,47.36842105263158,0.0,56.25,20.0,0,66.66666666666667,20.0,0,61.904761904761905,
0,0,60.0,45.0,0.0,56.25,33.333333333333336,0,66.66666666666667,18.75,0,63.63636363636363,
0,0,56.25,47.61904761904762,0.0,56.25,28.571428571428573,0,68.18181818181819,18.75,0,63.63636363636363,
0,0,58.8235294117647,47.61904761904762,0.0,56.25,28.571428571428573,0,65.21739130434783,17.647058823529413,0,65.21739130434783,
0,0,58.8235294117647,45.45454545454545,0.0,56.25,25.0,0,65.21739130434783,22.22222222222222,0,66.66666666666667,
0,0,58.8235294117647,47.82608695652174,0.0,56.25,22.22222222222222,0,66.66666666666667,21.05263157894737,0,66.66666666666667,
0,0,58.8235294117647,45.833333333333336,0.0,56.25,22.22222222222222,0,68.0,25.0,0,64.0,
0,0,58.8235294117647,44.0,0.0,56.25,20.0,0,69.23076923076923,25.0,0,65.38461538461539,
0,0,61.111111111111114,44.0,0.0,56.25,18.181818181818183,0,70.37037037037037,25.0,0,62.96296296296296,
0,0,57.89473684210526,46.15384615384615,0.0,56.25,18.181818181818183,0,71.42857142857143,25.0,0,60.714285714285715,
0,0,57.89473684210526,44.44444444444444,0.0,58.8235294117647,16.666666666666668,0,71.42857142857143,25.0,0,62.06896551724138,
0,0,60.0,44.44444444444444,0.0,61.111111111111114,15.384615384615385,0,68.96551724137932,25.0,0,62.06896551724138,
0,0,61.904761904761905,46.42857142857143,0.0,61.111111111111114,15.384615384615385,0,66.66666666666667,25.0,0,60.0,
0,0,63.63636363636363,44.827586206896555,0.0,57.89473684210526,15.384615384615385,0,66.66666666666667,25.0,0,61.29032258064516,
0,0,63.63636363636363,46.666666666666664,0.0,57.89473684210526,14.285714285714286,0,67.74193548387096,25.0,0,59.375,
0,0,65.21739130434783,48.38709677419355,0.0,57.89473684210526,14.285714285714286,0,65.625,25.0,0,57.57575757575758,
0,0,62.5,48.38709677419355,0.0,57.89473684210526,20.0,0,66.66666666666667,25.0,0,55.88235294117647,
0,0,62.5,46.875,0.0,57.89473684210526,18.75,0,67.6470588235294,25.0,0,57.142857142857146,
0,0,60.0,48.484848484848484,0.0,57.89473684210526,18.75,0,65.71428571428571,25.0,0,58.333333333333336,
0,0,57.69230769230769,50.0,0.0,57.89473684210526,17.647058823529413,0,66.66666666666667,25.0,0,58.333333333333336,
0,0,57.69230769230769,51.42857142857143,0.0,57.89473684210526,16.666666666666668,0,67.56756756756756,25.0,0,56.75675675675676,
0,0,57.69230769230769,50.0,0.0,57.89473684210526,21.05263157894737,0,68.42105263157895,25.0,0,55.26315789473684,
0,0,57.69230769230769,50.0,0.0,55.0,20.0,0,69.23076923076923,28.571428571428573,0,55.26315789473684,
0,0,57.69230769230769,51.351351351351354,0.0,52.38095238095238,20.0,0,69.23076923076923,27.272727272727273,0,56.41025641025641,
