AD,AN,AS,AT,GB,KN,KR,PJ,SA,SK,SS,SV,
1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,
1500,1500,1500,1504.72366552741,1495.27633447259,1500,1500,1500,1504.72366552741,1500,1500,1495.27633447259,
1500,1500,1503.7771387001305,1508.5008042275406,1495.27633447259,1500,1500,1500,1504.72366552741,1496.2228612998695,1500,1491.4991957724594,
1500,1500,1510.480339160487,1508.5008042275406,1488.5731340122336,1500,1500,1500,1498.0204650670537,1502.9260617602258,1500,1491.4991957724594,
1500,1500,1510.480339160487,1503.923451984197,1483.99578176889,1500,1500,1500,1502.5978173103972,1502.9260617602258,1500,1496.076548015803,
1500,1500,1515.9724689748348,1498.4313221698492,1483.99578176889,1500,1500,1500,1502.5978173103972,1497.433931945878,1500,1501.5686778301508,
1500,1500,1521.2303792491984,1498.4313221698492,1478.7378714945264,1500,1500,1500,1507.8557275847609,1492.1760216715143,1500,1501.5686778301508,
1500,1500,1525.9584167541284,1503.1593596747791,1478.7378714945264,1500,1500,1500,1503.127690079831,1487.4479841665843,1500,1501.5686778301508,
1500,1500,1525.9584167541284,1498.4168331378285,1478.7378714945264,1504.7425265369507,1500,1500,1507.8702166167816,1487.4479841665843,1500,1496.8261512932002,
1500,1500,1529.5117926670605,1498.4168331378285,1478.7378714945264,1508.2959024498828,1496.446624087068,1500,1507.8702166167816,1487.4479841665843,1500,1493.272775380268,
1500,1500,1523.4654236134984,1504.4632021913906,1478.7378714945264,1508.2959024498828,1490.4002550335058,1500,1513.9165856703437,1487.4479841665843,1500,1493.272775380268,
1500,1500,1523.4654236134984,1500.5423139360676,1478.7378714945264,1504.3750141945598,1490.4002550335058,1500,1517.8374739256667,1487.4479841665843,1500,1497.193663635591,
1500,1500,1529.4421652817812,1500.5423139360676,1478.7378714945264,1498.398272526277,1484.423513365223,1500,1517.8374739256667,1487.4479841665843,1500,1503.1704053038738,
1500,1500,1524.208393356772,1500.5423139360676,1478.7378714945264,1503.6320444512862,1484.423513365223,1500,1512.6037020006574,1487.4479841665843,1500,1508.404177228883,
1500,1500,1524.208393356772,1500.5423139360676,1478.7378714945264,1508.0872132652455,1479.9683445512637,1500,1517.0588708146167,1487.4479841665843,1500,1503.9490084149238,
1500,1500,1524.208393356772,1506.9128654175565,1478.7378714945264,1501.7166617837565,1479.9683445512637,1500,1510.6883193331278,1487.4479841665843,1500,1510.3195598964128,
1500,1500,1524.208393356772,1512.815685018079,1478.7378714945264,1507.619481384279,1479.9683445512637,1500,1510.6883193331278,1481.5451645660619,1500,1504.4167402958903,
1500,1500,1524.208393356772,1516.9393267852113,1478.7378714945264,1503.4958396171467,1479.9683445512637,1500,1514.81196110026,1477.4215227989296,1500,1504.4167402958903,
1500,1500,1524.208393356772,1511.4168360815838,1478.7378714945264,1509.018330320774,1479.9683445512637,1500,1509.2894703966326,1477.4215227989296,1500,1509.9392309995178,
1500,1500,1524.208393356772,1506.8142918854978,1478.7378714945264,1509.018330320774,1479.9683445512637,1500,1513.8920145927186,1472.8189786028436,1500,1514.5417751956038,
1500,1500,1524.208393356772,1506.8142918854978,1478.7378714945264,1504.8220388911147,1479.9683445512637,1500,1509.6957231630593,1477.015270032503,1500,1518.7380666252632,
1500,1500,1524.208393356772,1502.3179743604414,1478.7378714945264,1509.3183564161711,1479.9683445512637,1500,1509.6957231630593,1472.5189525074466,1500,1523.2343841503196,
1500,1500,1528.8335643795301,1502.3179743604414,1478.7378714945264,1504.693185393413,1479.9683445512637,1500,1505.070552140301,1472.5189525074466,1500,1527.8595551730778,
1500,1500,1524.6234278837903,1506.5281108561812,1478.7378714945264,1504.693185393413,1479.9683445512637,1500,1509.2806886360408,1468.3088160117068,1500,1527.8595551730778,
1500,1500,1524.6234278837903,1502.3259398942364,1478.7378714945264,1508.8953563553578,1479.9683445512637,1500,1509.2806886360408,1472.5109869736516,1500,1523.657384211133,
1500,1500,1520.9392965524667,1502.3259398942364,1478.7378714945264,1505.211225024034,1479.9683445512637,1500,1512.9648199673645,1472.5109869736516,1500,1527.3415155424566,
1500,1500,1525.443076888856,1497.822159557847,1478.7378714945264,1505.211225024034,1479.9683445512637,1500,1517.4686003037539,1468.0072066372622,1500,1527.3415155424566,
1500,1500,1525.443076888856,1503.7720537525029,1478.7378714945264,1511.16111921869,1479.9683445512637,1500,1517.4686003037539,1462.0573124426064,1500,1521.3916213478008,
1500,1500,1520.6066274798288,1498.9356043434757,1478.7378714945264,1511.16111921869,1484.804793960291,1500,1522.305049712781,1462.0573124426064,1500,1521.3916213478008,
1500,1500,1515.6535788830201,1498.9356043434757,1478.7378714945264,1511.16111921869,1484.804793960291,1500,1527.2580983095897,1457.1042638457977,1500,1526.3446699446094,
1500,1500,1515.6535788830201,1495.2115568834367,1478.7378714945264,1511.16111921869,1488.5288414203299,1500,1527.2580983095897,1453.3802163857588,1500,1530.0687174046484,
1500,1500,1511.9589984213897,1498.9061373450672,1478.7378714945264,1511.16111921869,1484.8342609586994,1500,1530.9526787712202,1453.3802163857588,1500,1530.0687174046484,
1500,1500,1515.30694782912,1498.9061373450672,1478.7378714945264,1511.16111921869,1484.8342609586994,1500,1527.60472936349,1450.0322669780285,1500,1533.4166668123787,
1500,1500,1515.30694782912,1493.6818770175576,1478.7378714945264,1511.16111921869,1479.6100006311897,1500,1527.60472936349,1455.2565273055382,1500,1538.6409271398884,
1500,1500,1515.30694782912,1498.1036241502768,1478.7378714945264,1511.16111921869,1475.1882534984704,1500,1532.0264764962092,1450.834780172819,1500,1538.6409271398884,
1500,1500,1515.30694782912,1493.2908074987927,1478.7378714945264,1511.16111921869,1475.1882534984704,1500,1536.8392931476933,1455.647596824303,1500,1533.8281104884043,
1500,1500,1515.30694782912,1488.3520477514019,1478.7378714945264,1511.16111921869,1470.2494937510796,1500,1541.778052895084,1455.647596824303,1500,1538.766870235795,
1500,1500,1519.0971277903861,1488.3520477514019,1478.7378714945264,1511.16111921869,1466.4593137898135,1500,1545.5682328563503,1455.647596824303,1500,1534.976690274529,
1500,1500,1515.237573502024,1492.211602039764,1478.7378714945264,1511.16111921869,1466.4593137898135,1500,1549.4277871447125,1455.647596824303,1500,1531.1171359861667,
1500,1500,1515.237573502024,1487.530344660833,1478.7378714945264,1515.842376597621,1461.7780564108823,1500,1549.4277871447125,1455.647596824303,1500,1535.7983933650978,
1500,1500,1519.7322775551697,1487.530344660833,1478.7378714945264,1520.337080650767,1457.2833523577365,1500,1544.9330830915667,1455.647596824303,1500,1535.7983933650978,
1500,1500,1524.7235923271442,1492.5216594328074,1478.7378714945264,1520.337080650767,1457.2833523577365,1500,1539.9417683195923,1455.647596824303,1500,1530.8070785931234,
1500,1500,1529.909294549277,1487.3359572106745,1478.7378714945264,1515.151378428634,1457.2833523577365,1500,1539.9417683195923,1455.647596824303,1500,1535.9927808152563,
1500,1500,1529.909294549277,1490.8882068787693,1478.7378714945264,1515.151378428634,1453.7311026896416,1500,1543.4940179876871,1455.647596824303,1500,1532.4405311471614,
1500,1500,1533.483377056561,1494.4622893860533,1478.7378714945264,1515.151378428634,1453.7311026896416,1500,1539.9199354804032,1455.647596824303,1500,1528.8664486398775,
1500,1500,1526.1008688824854,1494.4622893860533,1478.7378714945264,1515.151378428634,1461.1136108637172,1500,1547.3024436544788,1455.647596824303,1500,1521.4839404658019,
1500,1500,1526.1008688824854,1490.9030072287746,1478.7378714945264,1515.151378428634,1457.5543287064386,1500,1550.8617258117574,1455.647596824303,1500,1525.0432226230805,
1500,1500,1521.4599728549933,1495.5439032562667,1478.7378714945264,1515.151378428634,1457.5543287064386,1500,1546.2208297842653,1455.647596824303,1500,1529.6841186505726,
1500,1500,1517.422136413271,1499.5817396979892,1478.7378714945264,1515.151378428634,1453.5164922647161,1500,1550.2586662259878,1455.647596824303,1500,1529.6841186505726,
1500,1500,1517.422136413271,1503.1999720479798,1478.7378714945264,1515.151378428634,1449.8982599147255,1500,1553.8768985759784,1455.647596824303,1500,1526.065886300582,
1500,1500,1517.422136413271,1498.8832648100029,1478.7378714945264,1515.151378428634,1454.2149671527025,1500,1558.1936058139554,1455.647596824303,1500,1521.749179062605,
1500,1500,1517.422136413271,1498.8832648100029,1478.7378714945264,1510.9247781623335,1449.988366886402,1500,1562.4202060802559,1459.8741970906035,1500,1521.749179062605,
1500,1500,1517.422136413271,1504.5126566862696,1478.7378714945264,1505.2953862860668,1449.988366886402,1500,1562.4202060802559,1454.2448052143368,1500,1527.3785709388717,
1500,1500,1517.422136413271,1499.4880825096766,1478.7378714945264,1505.2953862860668,1444.963792709809,1500,1567.4447802568488,1454.2448052143368,1500,1532.4031451154647,
1500,1500,1517.422136413271,1495.4122831230698,1478.7378714945264,1509.3711856726736,1444.963792709809,1500,1571.5205796434557,1450.16900582773,1500,1532.4031451154647,
1500,1500,1517.422136413271,1495.4122831230698,1478.7378714945264,1514.858139426374,1444.963792709809,1500,1566.0336258897553,1444.6820520740296,1500,1537.890098869165,
1500,1500,1517.422136413271,1500.7957868576307,1478.7378714945264,1520.241643160935,1444.963792709809,1500,1566.0336258897553,1439.2985483394687,1500,1532.5065951346041,
1500,1500,1517.422136413271,1506.0908666533985,1478.7378714945264,1520.241643160935,1444.963792709809,1500,1571.3287056855231,1439.2985483394687,1494.7049202042322,1527.2115153388363,
1500,1500,1517.422136413271,1506.0908666533985,1474.8917238533288,1524.0877908021325,1444.963792709809,1503.8461476411976,1571.3287056855231,1435.452400698271,1494.7049202042322,1527.2115153388363,
1500,1500,1517.422136413271,1501.3404895381584,1474.8917238533288,1524.0877908021325,1444.963792709809,1503.8461476411976,1576.0790828007632,1435.452400698271,1489.954543088992,1531.9618924540764,
1500,1500,1517.422136413271,1501.3404895381584,1480.4759886170973,1524.0877908021325,1444.963792709809,1498.2618828774291,1576.0790828007632,1435.452400698271,1484.3702783252236,1537.546157217845,
1500,1500,1517.422136413271,1498.8952327711902,1480.4759886170973,1526.5330475691007,1444.963792709809,1498.2618828774291,1578.5243395677314,1433.0071439313028,1484.3702783252236,1537.546157217845,
1500,1500,1517.422136413271,1504.3347683346014,1480.4759886170973,1526.5330475691007,1444.963792709809,1503.7014184408404,1573.0848040043202,1433.0071439313028,1478.9307427618123,1537.546157217845,
1500,1500,1517.422136413271,1504.3347683346014,1475.340846957215,1521.3979059092185,1444.963792709809,1503.7014184408404,1573.0848040043202,1438.142285591185,1478.9307427618123,1542.6812988777272,
1500,1500,1517.422136413271,1509.656788580889,1475.340846957215,1521.3979059092185,1444.963792709809,1498.3793981945528,1567.7627837580326,1438.142285591185,1478.9307427618123,1548.0033191240148,
1500,1500,1517.422136413271,1509.656788580889,1480.44914617651,1516.2896066899234,1444.963792709809,1498.3793981945528,1567.7627837580326,1443.2505848104802,1473.8224435425172,1548.0033191240148,
1500,1500,1517.422136413271,1514.0277935619174,1480.44914617651,1516.2896066899234,1444.963792709809,1494.0083932135244,1572.133788739061,1443.2505848104802,1473.8224435425172,1543.6323141429864,
1500,1500,1517.422136413271,1514.0277935619174,1484.3197897129787,1520.160250226392,1444.963792709809,1494.0083932135244,1572.133788739061,1439.3799412740116,1469.9518000060486,1543.6323141429864,
1500,1500,1517.422136413271,1514.0277935619174,1480.5971044046926,1520.160250226392,1444.963792709809,1490.2857079052383,1572.133788739061,1439.3799412740116,1473.6744853143348,1547.3549994512725,
1500,1500,1517.422136413271,1518.7199830182144,1480.5971044046926,1524.852439682689,1444.963792709809,1490.2857079052383,1567.441599282764,1434.6877518177146,1473.6744853143348,1547.3549994512725,
1500,1500,1521.8383694302943,1523.1362160352378,1480.5971044046926,1520.4362066656656,1444.963792709809,1490.2857079052383,1567.441599282764,1434.6877518177146,1473.6744853143348,1542.9387664342491,
1500,1500,1526.099665305518,1518.874920160014,1480.5971044046926,1516.1749107904418,1444.963792709809,1490.2857079052383,1567.441599282764,1434.6877518177146,1473.6744853143348,1547.200062309473,
1500,1500,1521.4206668721586,1523.5539185933735,1480.5971044046926,1511.4959123570823,1444.963792709809,1490.2857079052383,1567.441599282764,1434.6877518177146,1473.6744853143348,1551.8790607428325,
