AS	AT	GB	KN	KR	PJ	SA	SK	SS	SV	
0	0	0	0	0	0	0	0	0	0	
0	6	-6	0	0	0	6	0	0	-6	
2	4	-6	0	0	0	6	-2	0	-4	
7.5	4	-9.5	0	0	0	-3.5	5.5	0	-4	
7.5	1	-8	0	0	0	-0.666666666666667	5.5	0	-1	
8	-1.5	-8	0	0	0	-0.666666666666667	0.666666666666667	0	1.5	
8.5	-1.5	-8.5	0	0	0	2	-2	0	1.5	
8.2	0.2	-8.5	0	0	0	0.2	-3	0	1.5	
8.2	-0.833333333333333	-8.5	6	0	0	1.16666666666667	-3	0	0	
7.16666666666667	-0.833333333333333	-8.5	4	-2	0	1.16666666666667	-3	0	-0.333333333333333	
4.71428571428571	0.714285714285714	-8.5	4	-6	0	2.42857142857143	-3	0	-0.333333333333333	
4.71428571428571	0.375	-8.5	2	-6	0	2.375	-3	0	0	
5.625	0.375	-8.5	-1.5	-8	0	2.375	-3	0	1.5	
4.33333333333333	0.375	-8.5	0	-8	0	1.44444444444444	-3	0	2	
4.33333333333333	0.375	-8.5	1	-7.5	0	1.9	-3	0	1.2	
4.33333333333333	1.55555555555556	-8.5	-0.714285714285714	-7.5	0	0.727272727272727	-3	0	2.09090909090909	
4.33333333333333	2.5	-8.5	0.75	-7.5	0	0.727272727272727	-4.33333333333333	0	1	
4.33333333333333	2.72727272727273	-8.5	0.111111111111111	-7.5	0	1.08333333333333	-4.42857142857143	0	1	
4.33333333333333	1.83333333333333	-8.5	0.9	-7.5	0	0.384615384615385	-4.42857142857143	0	1.53846153846154	
4.33333333333333	1.15384615384615	-8.5	0.9	-7.5	0	0.857142857142857	-4.75	0	1.92857142857143	
4.33333333333333	1.15384615384615	-8.5	0.636363636363636	-7.5	0	0.666666666666667	-4	0	1.93333333333333	
4.33333333333333	0.571428571428571	-8.5	1.16666666666667	-7.5	0	0.666666666666667	-4.3	0	2.25	
4.6	0.571428571428571	-8.5	0.538461538461538	-7.5	0	0.1875	-4.3	0	2.52941176470588	
3.81818181818182	0.8	-8.5	0.538461538461538	-7.5	0	0.411764705882353	-4.27272727272727	0	2.52941176470588	
3.81818181818182	0.625	-8.5	0.642857142857143	-7.5	0	0.411764705882353	-3.75	0	2.27777777777778	
3.33333333333333	0.625	-8.5	0.466666666666667	-7.5	0	0.5	-3.75	0	2.26315789473684	
3.69230769230769	0.117647058823529	-8.5	0.466666666666667	-7.5	0	0.894736842105263	-4.07692307692308	0	2.26315789473684	
3.69230769230769	0.722222222222222	-8.5	1.125	-7.5	0	0.894736842105263	-4.57142857142857	0	1.6	
3.07142857142857	0.421052631578947	-8.5	1.125	-5	0	1.1	-4.57142857142857	0	1.6	
2.2	0.421052631578947	-8.5	1.125	-5	0	1.52380952380952	-4.93333333333333	0	2	
2.2	0.2	-8.5	1.125	-3.5	0	1.52380952380952	-4.875	0	2.09090909090909	
1.9375	0.285714285714286	-8.5	1.125	-3.28571428571429	0	1.54545454545455	-4.875	0	2.09090909090909	
1.94117647058824	0.285714285714286	-8.5	1.125	-3.28571428571429	0	1.39130434782609	-4.70588235294118	0	2.08695652173913	
1.94117647058824	-0.0909090909090909	-8.5	1.125	-3.875	0	1.39130434782609	-4	0	2.33333333333333	
1.94117647058824	0.304347826086957	-8.5	1.125	-4.44444444444444	0	1.70833333333333	-4.26315789473684	0	2.33333333333333	
1.94117647058824	0.125	-8.5	1.125	-4.44444444444444	0	1.8	-3.85	0	2.08	
1.94117647058824	-0.36	-8.5	1.125	-5.2	0	2.19230769230769	-3.85	0	2.46153846153846	
2.05555555555556	-0.36	-8.5	1.125	-5.09090909090909	0	2.25925925925926	-3.85	0	2.22222222222222	
1.84210526315789	-0.269230769230769	-8.5	1.125	-5.09090909090909	0	2.25	-3.85	0	2.07142857142857	
1.84210526315789	-0.62962962962963	-8.5	1.64705882352941	-5.5	0	2.25	-3.85	0	2.3448275862069	
2.05	-0.62962962962963	-8.5	1.88888888888889	-5.53846153846154	0	1.96551724137931	-3.85	0	2.3448275862069	
2.14285714285714	-0.464285714285714	-8.5	1.88888888888889	-5.53846153846154	0	1.76666666666667	-3.85	0	2.13333333333333	
