AS	AT	GB	KN	KR	PJ	SA	SK	SS	SV	
0	0	0	0	0	0	0	0	0	0	
0	21	15	0	0	0	21	0	0	15	
21	21	15	0	0	0	21	19	0	17	
21	21	11.5	0	0	0	14.5	20	0	17	
21	19.3333333333333	13	0	0	0	16.6666666666667	20	0	18.3333333333333	
21	17.5	13	0	0	0	16.6666666666667	17.3333333333333	0	19	
21	17.5	12.5	0	0	0	17.75	15.75	0	19	
21	18.2	12.5	0	0	0	17	15.4	0	19	
21	17.6666666666667	12.5	21	0	0	17.6666666666667	15.4	0	18.2	
21	17.6666666666667	12.5	21	19	0	17.6666666666667	15.4	0	18.3333333333333	
19.5714285714286	18.1428571428571	12.5	21	15	0	18.1428571428571	15.4	0	18.3333333333333	
19.5714285714286	18.25	12.5	20.3333333333333	15	0	18.5	15.4	0	18.7142857142857	
19.75	18.25	12.5	17.5	13	0	18.5	15.4	0	19	
19.2222222222222	18.25	12.5	18.2	13	0	18.1111111111111	15.4	0	19.2222222222222	
19.2222222222222	18.25	12.5	18.6666666666667	13.5	0	18.4	15.4	0	18.8	
19.2222222222222	18.5555555555556	12.5	17.4285714285714	13.5	0	17.6363636363636	15.4	0	19	
19.2222222222222	18.8	12.5	17.875	13.5	0	17.6363636363636	14.5	0	18.25	
19.2222222222222	19	12.5	17.6666666666667	13.5	0	17.9166666666667	14.7142857142857	0	18.25	
19.2222222222222	18.5	12.5	18	13.5	0	17.5384615384615	14.7142857142857	0	18.4615384615385	
19.2222222222222	18.1538461538462	12.5	18	13.5	0	17.7857142857143	14.625	0	18.6428571428571	
19.2222222222222	18.1538461538462	12.5	18.0909090909091	13.5	0	17.8666666666667	15.3333333333333	0	18.8	
19.2222222222222	17.8571428571429	12.5	18.3333333333333	13.5	0	17.8666666666667	15.2	0	18.9375	
19.4	17.8571428571429	12.5	18	13.5	0	17.625	15.2	0	19.0588235294118	
19.1818181818182	18.0666666666667	12.5	18	13.5	0	17.8235294117647	15.3636363636364	0	19.0588235294118	
19.1818181818182	18.1875	12.5	18.2857142857143	13.5	0	17.8235294117647	15.9166666666667	0	19.1111111111111	
19.25	18.1875	12.5	18.4	13.5	0	18.0555555555556	15.9166666666667	0	19.2631578947368	
19.3846153846154	17.8823529411765	12.5	18.4	13.5	0	18.2105263157895	15.6923076923077	0	19.2631578947368	
19.3846153846154	18.0555555555556	12.5	18.5625	13.5	0	18.2105263157895	15.2857142857143	0	18.8	
19.1428571428571	17.9473684210526	12.5	18.5625	15	0	18.35	15.2857142857143	0	18.8	
18.6	17.9473684210526	12.5	18.5625	15	0	18.4761904761905	15	0	18.9047619047619	
18.6	17.9	12.5	18.5625	16	0	18.4761904761905	15.125	0	19	
18.625	18.047619047619	12.5	18.5625	16.4285714285714	0	18.5909090909091	15.125	0	19	
18.7647058823529	18.047619047619	12.5	18.5625	16.4285714285714	0	18.6086956521739	15.3529411764706	0	19.0869565217391	
18.7647058823529	17.8181818181818	12.5	18.5625	16	0	18.6086956521739	15.6666666666667	0	19.1666666666667	
18.7647058823529	17.9565217391304	12.5	18.5625	15.5555555555556	0	18.7083333333333	15.4736842105263	0	19.1666666666667	
18.7647058823529	17.9166666666667	12.5	18.5625	15.5555555555556	0	18.8	15.75	0	19.08	
18.7647058823529	17.56	12.5	18.5625	14.9	0	18.8846153846154	15.75	0	19.1538461538462	
18.8888888888889	17.56	12.5	18.5625	15.0909090909091	0	18.962962962963	15.75	0	19.0740740740741	
18.9473684210526	17.7307692307692	12.5	18.5625	15.0909090909091	0	19.0714285714286	15.75	0	19.1071428571429	
18.9473684210526	17.4814814814815	12.5	18.7058823529412	14.75	0	19.0714285714286	15.75	0	19.1724137931034	
19.05	17.4814814814815	12.5	18.8333333333333	14.7692307692308	0	18.9310344827586	15.75	0	19.1724137931034	
19.1428571428571	17.6071428571429	12.5	18.8333333333333	14.7692307692308	0	18.8666666666667	15.75	0	19.1	
19.2272727272727	17.3793103448276	12.5	18.4210526315789	14.7692307692308	0	18.8666666666667	15.75	0	19.1612903225806	
19.2272727272727	17.5	12.5	18.4210526315789	15.0714285714286	0	18.9354838709677	15.75	0	19.15625	
19.4782608695652	17.741935483871	12.5	18.4210526315789	15.0714285714286	0	19.0625	15.75	0	19.2727272727273	
