AS	AT	GB	KN	KR	PJ	SA	SK	SS	SV	
60	51	18	52.3809523809524	19	33	65.0793650793651	34	14.2857142857143	59	
60.8695652173913	52.7272727272727	18	52.3809523809524	19	33	64	34	14.2857142857143	58	
61.7021276595745	51	18	52.3809523809524	19	33	63	34	14.2857142857143	59.375	
60	52.6315789473684	18	52.3809523809524	19	33	63.6363636363636	34	14.2857142857143	58	
61.2244897959184	53.448275862069	18	52.3809523809524	19	33	62	34	14.2857142857143	57	
60	54.2372881355932	18	52.3809523809524	19	33	61	34	14.2857142857143	58.2089552238806	
60.7843137254902	53	18	52.3809523809524	19	42.8571428571429	60	34	14.2857142857143	58.2089552238806	
60.7843137254902	53	18	52.3809523809524	19	37	61.4285714285714	33	14.2857142857143	58.8235294117647	
59	54.0983606557377	18	52.3809523809524	19	37	61.4285714285714	32	14.2857142857143	59.4202898550725	
59	54.8387096774194	18	52.3809523809524	19	33	61.9718309859155	32	14.2857142857143	58	
60.377358490566	54.8387096774194	18	52.3809523809524	19	30	62.5	31	14.2857142857143	58	
61.1111111111111	53	18	52.3809523809524	19	30	62.5	31	14.2857142857143	59.1549295774648	
61.1111111111111	54.6875	18	52.3809523809524	19	27	61	31	14.2857142857143	59.7222222222222	
61.1111111111111	55.3846153846154	18	52.3809523809524	18	27	60	31	14.2857142857143	60.2739726027397	
61.1111111111111	56.0606060606061	18	52.3809523809524	17	27	61.3333333333333	31	14.2857142857143	59	
61.1111111111111	56.0606060606061	18	52.3809523809524	16	27	60	32.6530612244898	14.2857142857143	60	
61.1111111111111	55	18	52.3809523809524	16	27	61.038961038961	32	14.2857142857143	60.5263157894737	
61.1111111111111	55.8823529411765	18	52.3809523809524	20	27	60	31	14.2857142857143	60.5263157894737	
61.1111111111111	56.5217391304348	18	52.3809523809524	19	27	60	30	14.2857142857143	61.038961038961	
61.1111111111111	57.1428571428571	18	52.3809523809524	19	27	59	32.0754716981132	14.2857142857143	60	
